Order ID,Customer ID,Order Date,Ship Date,Region,State,Category,Sub-Category,Segment,Ship Mode,Sales,Profit,Discount
ORD-100059,CUST-4955,2022-09-08,2022-09-08,East,Pennsylvania,Furniture,Bookcases,Home Office,First Class,293.65,-77.04,0.3
ORD-100060,CUST-2142,2022-03-27,2022-03-30,South,Georgia,Furniture,Chairs,Corporate,Same Day,1025.8,-52.87,0.3
ORD-100061,CUST-1589,2024-04-16,2024-04-16,East,Massachusetts,Technology,Phones,Consumer,First Class,678.32,-91.48,0.3
ORD-100062,CUST-4922,2022-03-28,2022-04-01,East,New York,Furniture,Bookcases,Corporate,Second Class,1407.48,-258.99,0.4
ORD-100063,CUST-3966,2022-06-03,2022-06-05,East,Massachusetts,Office Supplies,Supplies,Corporate,Same Day,856.28,-34.64,0.2
ORD-100064,CUST-3065,2023-06-21,2023-06-27,Central,Illinois,Technology,Machines,Home Office,Second Class,779.6,126.03,0.1
ORD-100065,CUST-3609,2022-02-12,2022-02-13,East,New York,Office Supplies,Paper,Consumer,Standard Class,572.38,173.88,0.0
ORD-100066,CUST-3565,2023-10-05,2023-10-05,East,New York,Furniture,Furnishings,Home Office,Standard Class,167.03,-17.22,0.2
ORD-100067,CUST-4677,2024-02-06,2024-02-10,East,Massachusetts,Furniture,Chairs,Corporate,Standard Class,1337.52,-232.96,0.4
ORD-100068,CUST-1961,2024-05-16,2024-05-18,East,Virginia,Technology,Machines,Corporate,Standard Class,104.74,1.44,0.2
ORD-100069,CUST-4729,2022-03-20,2022-03-23,Central,Illinois,Technology,Machines,Corporate,Same Day,107.28,-9.57,0.3
ORD-100070,CUST-3668,2022-12-06,2022-12-08,Central,Texas,Furniture,Tables,Consumer,Second Class,1078.47,123.38,0.1
ORD-100071,CUST-2100,2022-03-04,2022-03-07,Central,Michigan,Furniture,Tables,Consumer,Same Day,97.85,-20.83,0.3
ORD-100072,CUST-2910,2023-04-21,2023-04-24,South,Florida,Office Supplies,Supplies,Corporate,First Class,915.2,136.19,0.05
ORD-100073,CUST-1313,2022-10-24,2022-10-27,Central,Wisconsin,Technology,Phones,Corporate,Standard Class,973.1,-341.88,0.4
ORD-100074,CUST-1369,2022-03-18,2022-03-22,South,Tennessee,Office Supplies,Supplies,Consumer,Second Class,1453.25,-213.51,0.3
ORD-100075,CUST-2495,2022-04-26,2022-05-01,West,Arizona,Technology,Copiers,Consumer,First Class,319.84,-54.58,0.4
ORD-100076,CUST-2660,2023-11-29,2023-12-02,West,Nevada,Furniture,Tables,Consumer,Same Day,1398.06,137.4,0.05
ORD-100077,CUST-1007,2024-05-10,2024-05-12,West,Washington,Furniture,Furnishings,Corporate,Standard Class,550.17,-8.12,0.2
ORD-100078,CUST-2037,2024-01-28,2024-01-30,West,Oregon,Office Supplies,Binders,Consumer,Standard Class,422.94,-19.44,0.1
ORD-100079,CUST-4499,2024-02-13,2024-02-15,East,New Jersey,Furniture,Chairs,Corporate,Same Day,98.08,4.86,0.0
ORD-100080,CUST-2786,2022-09-13,2022-09-15,West,California,Technology,Copiers,Home Office,Second Class,963.44,5.73,0.05
ORD-100081,CUST-3249,2024-06-15,2024-06-19,East,Massachusetts,Office Supplies,Supplies,Consumer,Same Day,1149.35,-5.99,0.1
ORD-100082,CUST-2172,2023-10-22,2023-10-28,West,California,Technology,Machines,Corporate,Second Class,1498.83,61.74,0.1
ORD-100083,CUST-2047,2022-10-16,2022-10-18,East,Virginia,Technology,Machines,Corporate,First Class,950.42,-41.79,0.3
ORD-100084,CUST-2615,2023-07-25,2023-07-30,Central,Michigan,Furniture,Tables,Corporate,Same Day,609.93,-81.45,0.3
ORD-100085,CUST-4109,2023-04-09,2023-04-11,West,Washington,Technology,Machines,Home Office,Second Class,1050.12,-142.45,0.2
ORD-100086,CUST-1373,2022-12-17,2022-12-21,East,Massachusetts,Furniture,Tables,Consumer,Second Class,739.16,112.54,0.05
ORD-100087,CUST-4054,2023-01-28,2023-01-31,West,Oregon,Technology,Accessories,Consumer,Same Day,1003.59,20.75,0.05
ORD-100088,CUST-1515,2023-08-12,2023-08-14,East,New Jersey,Technology,Phones,Corporate,First Class,1029.93,-17.84,0.2
ORD-100089,CUST-2637,2022-09-12,2022-09-15,Central,Wisconsin,Furniture,Tables,Consumer,First Class,487.75,54.0,0.0
ORD-100090,CUST-4128,2023-03-12,2023-03-17,Central,Minnesota,Office Supplies,Binders,Consumer,Standard Class,1193.61,-157.65,0.3
ORD-100091,CUST-3162,2023-02-05,2023-02-11,South,Tennessee,Office Supplies,Supplies,Consumer,Standard Class,976.99,-308.17,0.4
ORD-100092,CUST-4980,2022-06-05,2022-06-09,South,Tennessee,Technology,Phones,Consumer,Second Class,1430.07,-400.73,0.4
ORD-100093,CUST-4767,2022-08-27,2022-08-31,Central,Minnesota,Technology,Phones,Consumer,Second Class,1011.72,4.9,0.3
ORD-100094,CUST-1459,2023-12-17,2023-12-23,West,Oregon,Office Supplies,Storage,Home Office,Same Day,250.02,37.78,0.1
ORD-100095,CUST-3461,2022-08-17,2022-08-23,West,Oregon,Furniture,Tables,Corporate,First Class,710.61,157.35,0.0
ORD-100096,CUST-4619,2023-10-23,2023-10-29,West,Arizona,Technology,Machines,Corporate,First Class,1107.41,116.74,0.05
ORD-100097,CUST-2259,2023-12-23,2023-12-28,West,Arizona,Technology,Accessories,Consumer,Same Day,644.82,-178.26,0.4
ORD-100098,CUST-2738,2022-08-22,2022-08-27,West,Washington,Furniture,Furnishings,Consumer,First Class,1106.38,-150.98,0.3
ORD-100099,CUST-2623,2023-01-07,2023-01-12,South,Georgia,Furniture,Bookcases,Home Office,Same Day,435.39,48.05,0.0
ORD-100100,CUST-4136,2022-07-25,2022-07-27,West,Oregon,Office Supplies,Binders,Consumer,Same Day,611.18,-26.95,0.2
ORD-100101,CUST-3498,2023-10-01,2023-10-04,South,Georgia,Furniture,Bookcases,Corporate,Standard Class,331.73,-92.01,0.4
ORD-100102,CUST-1872,2023-02-07,2023-02-07,West,Washington,Furniture,Chairs,Home Office,Second Class,1394.74,-456.61,0.4
ORD-100103,CUST-2841,2022-07-08,2022-07-11,West,Arizona,Technology,Phones,Home Office,Standard Class,413.24,-24.95,0.3
ORD-100104,CUST-3672,2022-07-15,2022-07-16,South,North Carolina,Office Supplies,Binders,Consumer,First Class,526.84,106.81,0.0
ORD-100105,CUST-1446,2023-03-30,2023-03-31,South,Tennessee,Technology,Machines,Corporate,First Class,1481.61,148.64,0.1
ORD-100106,CUST-4148,2023-01-25,2023-01-27,West,Oregon,Technology,Machines,Consumer,Second Class,1078.06,168.67,0.05
ORD-100107,CUST-1790,2023-07-09,2023-07-12,South,Tennessee,Technology,Machines,Consumer,First Class,819.43,-45.36,0.2
ORD-100108,CUST-1142,2022-02-11,2022-02-14,West,Nevada,Technology,Machines,Consumer,Same Day,667.05,32.68,0.0
ORD-100109,CUST-2372,2023-01-07,2023-01-09,East,New York,Technology,Phones,Home Office,First Class,63.17,-4.9,0.3
ORD-100110,CUST-4095,2022-01-04,2022-01-09,South,Alabama,Technology,Copiers,Corporate,First Class,186.07,28.99,0.0
ORD-100111,CUST-4907,2024-01-03,2024-01-06,East,New York,Technology,Accessories,Consumer,Same Day,70.98,20.6,0.0
ORD-100112,CUST-4287,2022-07-07,2022-07-07,Central,Michigan,Office Supplies,Supplies,Consumer,Same Day,1340.94,114.12,0.0
ORD-100113,CUST-2308,2022-12-02,2022-12-08,South,North Carolina,Office Supplies,Paper,Home Office,Second Class,741.83,18.58,0.2
ORD-100114,CUST-1265,2022-09-11,2022-09-14,East,Virginia,Technology,Accessories,Corporate,Second Class,511.62,11.03,0.3
ORD-100115,CUST-2084,2022-04-18,2022-04-18,Central,Minnesota,Furniture,Bookcases,Consumer,Same Day,1416.79,17.93,0.05
ORD-100116,CUST-1544,2022-06-27,2022-06-28,Central,Illinois,Technology,Machines,Home Office,Same Day,1059.42,2.48,0.1
ORD-100117,CUST-2203,2024-03-09,2024-03-15,East,Virginia,Office Supplies,Paper,Home Office,Standard Class,698.75,121.53,0.0
ORD-100118,CUST-2013,2022-07-23,2022-07-26,West,Arizona,Technology,Copiers,Home Office,First Class,573.75,-63.28,0.3
ORD-100119,CUST-2007,2023-02-10,2023-02-12,West,Washington,Technology,Accessories,Corporate,Standard Class,500.07,53.46,0.0
ORD-100120,CUST-1018,2022-02-07,2022-02-07,East,Massachusetts,Furniture,Chairs,Home Office,Same Day,853.95,-73.01,0.4
ORD-100121,CUST-1206,2022-08-27,2022-08-27,East,Massachusetts,Office Supplies,Storage,Consumer,First Class,166.91,26.15,0.0
ORD-100122,CUST-2064,2023-04-05,2023-04-09,West,Arizona,Technology,Phones,Corporate,Second Class,1412.56,-324.77,0.4
ORD-100123,CUST-1579,2023-01-13,2023-01-15,Central,Texas,Technology,Copiers,Consumer,Standard Class,1051.93,-220.4,0.4
ORD-100124,CUST-2522,2023-02-23,2023-02-28,West,Oregon,Technology,Accessories,Consumer,First Class,267.14,-14.24,0.2
ORD-100125,CUST-1415,2022-03-06,2022-03-09,West,Oregon,Technology,Phones,Corporate,Same Day,1478.56,-371.11,0.4
ORD-100126,CUST-2110,2023-02-12,2023-02-17,Central,Wisconsin,Technology,Phones,Home Office,Second Class,501.45,43.48,0.0
ORD-100127,CUST-4619,2024-02-03,2024-02-07,East,Pennsylvania,Office Supplies,Supplies,Consumer,First Class,605.01,-189.34,0.4
ORD-100128,CUST-2658,2023-02-05,2023-02-10,East,New Jersey,Technology,Copiers,Home Office,Second Class,486.66,-23.55,0.2
ORD-100129,CUST-2663,2024-04-20,2024-04-20,West,California,Furniture,Tables,Corporate,Standard Class,262.69,-28.13,0.3
ORD-100130,CUST-1583,2022-02-22,2022-02-26,East,Pennsylvania,Furniture,Tables,Consumer,Standard Class,1045.32,9.86,0.2
ORD-100131,CUST-2160,2022-05-30,2022-06-01,Central,Minnesota,Technology,Copiers,Home Office,Second Class,395.64,-6.45,0.2
ORD-100132,CUST-4244,2024-02-11,2024-02-17,West,Washington,Office Supplies,Binders,Corporate,Same Day,108.64,15.42,0.0
ORD-100133,CUST-4793,2022-02-24,2022-02-28,South,Georgia,Technology,Phones,Corporate,First Class,1093.4,-20.65,0.2
ORD-100134,CUST-3517,2023-09-28,2023-10-01,Central,Texas,Office Supplies,Paper,Home Office,Second Class,913.41,181.25,0.05
ORD-100135,CUST-2571,2023-06-15,2023-06-16,South,Tennessee,Technology,Accessories,Consumer,Same Day,182.35,5.42,0.3
ORD-100136,CUST-2327,2023-11-15,2023-11-21,East,Massachusetts,Technology,Accessories,Consumer,Standard Class,120.63,-2.06,0.2
ORD-100137,CUST-2020,2022-11-12,2022-11-16,West,Arizona,Furniture,Bookcases,Home Office,Same Day,1305.95,213.32,0.05
ORD-100138,CUST-3004,2022-01-04,2022-01-08,East,Pennsylvania,Furniture,Furnishings,Consumer,Standard Class,645.78,75.52,0.0
ORD-100139,CUST-1274,2023-02-14,2023-02-14,East,New Jersey,Office Supplies,Supplies,Consumer,Same Day,1435.15,-61.89,0.3
ORD-100140,CUST-1533,2022-02-11,2022-02-16,West,Nevada,Furniture,Furnishings,Home Office,Standard Class,1298.29,13.47,0.05
ORD-100141,CUST-1557,2023-10-31,2023-11-06,West,Oregon,Office Supplies,Binders,Consumer,Same Day,210.08,10.32,0.1
ORD-100142,CUST-4918,2023-05-19,2023-05-21,West,California,Office Supplies,Binders,Consumer,Second Class,1454.53,102.9,0.1
ORD-100143,CUST-2033,2023-09-18,2023-09-24,South,Georgia,Office Supplies,Paper,Consumer,First Class,711.15,93.11,0.05
ORD-100144,CUST-1853,2023-05-30,2023-06-02,West,Arizona,Technology,Machines,Consumer,First Class,355.28,-50.96,0.3
ORD-100145,CUST-2652,2022-07-23,2022-07-24,East,Virginia,Furniture,Bookcases,Corporate,Standard Class,1240.46,106.89,0.1
ORD-100146,CUST-3173,2022-04-28,2022-05-04,West,Oregon,Office Supplies,Supplies,Consumer,First Class,430.06,112.3,0.0
ORD-100147,CUST-3579,2022-09-16,2022-09-20,West,Oregon,Office Supplies,Supplies,Home Office,Standard Class,743.48,-20.71,0.2
ORD-100148,CUST-4131,2023-01-04,2023-01-06,South,North Carolina,Technology,Copiers,Home Office,Second Class,1362.42,261.83,0.0
ORD-100149,CUST-4956,2022-11-14,2022-11-19,West,Washington,Technology,Phones,Corporate,First Class,1111.49,17.84,0.05
ORD-100150,CUST-1907,2024-02-05,2024-02-05,South,Alabama,Office Supplies,Storage,Home Office,Standard Class,594.64,62.95,0.0
ORD-100151,CUST-3000,2022-02-18,2022-02-19,West,Arizona,Furniture,Furnishings,Home Office,First Class,423.08,40.27,0.0
ORD-100152,CUST-3142,2022-11-08,2022-11-08,West,California,Technology,Phones,Home Office,First Class,1083.61,-100.8,0.2
ORD-100153,CUST-3555,2022-07-29,2022-07-31,East,Massachusetts,Furniture,Bookcases,Home Office,Second Class,172.99,23.53,0.0
ORD-100154,CUST-1260,2023-04-07,2023-04-07,South,Georgia,Technology,Accessories,Home Office,Second Class,1463.48,51.95,0.05
ORD-100155,CUST-3303,2023-10-23,2023-10-29,Central,Michigan,Furniture,Bookcases,Consumer,Standard Class,203.77,18.57,0.1
ORD-100156,CUST-4700,2022-09-12,2022-09-13,South,Alabama,Furniture,Furnishings,Home Office,Same Day,698.22,60.62,0.05
ORD-100157,CUST-4734,2022-06-13,2022-06-13,West,California,Furniture,Furnishings,Consumer,Second Class,1105.67,183.06,0.1
ORD-100158,CUST-3490,2022-07-24,2022-07-28,Central,Texas,Furniture,Tables,Consumer,Same Day,532.75,97.94,0.0
ORD-100159,CUST-3563,2022-03-07,2022-03-09,Central,Minnesota,Office Supplies,Paper,Home Office,First Class,383.36,80.96,0.0
ORD-100160,CUST-1329,2024-02-03,2024-02-06,West,Nevada,Office Supplies,Binders,Corporate,Same Day,68.4,2.25,0.1
ORD-100161,CUST-1504,2023-10-22,2023-10-22,Central,Minnesota,Technology,Phones,Corporate,Second Class,484.76,18.34,0.1
ORD-100162,CUST-4757,2023-12-04,2023-12-10,West,Oregon,Office Supplies,Storage,Home Office,Same Day,644.18,-66.68,0.3
ORD-100163,CUST-4705,2022-06-23,2022-06-25,East,Pennsylvania,Technology,Accessories,Consumer,Standard Class,1340.65,172.59,0.1
ORD-100164,CUST-1979,2022-12-03,2022-12-07,West,Washington,Office Supplies,Storage,Consumer,Same Day,262.77,-46.96,0.4
ORD-100165,CUST-3336,2024-01-13,2024-01-14,East,Virginia,Furniture,Chairs,Consumer,Same Day,1250.72,-178.89,0.4
ORD-100166,CUST-1110,2022-05-29,2022-05-29,South,Georgia,Furniture,Chairs,Home Office,Second Class,144.23,-4.04,0.05
ORD-100167,CUST-1566,2022-02-01,2022-02-01,West,Arizona,Office Supplies,Storage,Consumer,Standard Class,1460.2,99.29,0.1
ORD-100168,CUST-4909,2022-07-24,2022-07-30,Central,Texas,Office Supplies,Binders,Consumer,First Class,1029.54,175.52,0.1
ORD-100169,CUST-1458,2022-07-30,2022-07-31,South,Florida,Office Supplies,Supplies,Consumer,Second Class,214.15,11.2,0.0
ORD-100170,CUST-4243,2022-05-16,2022-05-16,West,California,Office Supplies,Storage,Corporate,Standard Class,960.51,95.31,0.2
ORD-100171,CUST-2051,2022-01-22,2022-01-24,Central,Illinois,Technology,Copiers,Corporate,First Class,423.33,4.75,0.05
ORD-100172,CUST-3532,2024-05-21,2024-05-23,South,Florida,Office Supplies,Storage,Corporate,Same Day,1098.86,-365.32,0.4
ORD-100173,CUST-3203,2023-12-23,2023-12-23,Central,Minnesota,Technology,Phones,Corporate,Same Day,596.73,65.45,0.0
ORD-100174,CUST-1827,2022-01-02,2022-01-06,East,New York,Furniture,Bookcases,Consumer,Same Day,1476.4,-0.84,0.05
ORD-100175,CUST-4380,2023-12-13,2023-12-19,West,California,Technology,Machines,Consumer,Same Day,1115.18,176.28,0.1
ORD-100176,CUST-1879,2022-10-18,2022-10-24,West,Nevada,Furniture,Bookcases,Home Office,Second Class,412.08,85.81,0.0
ORD-100177,CUST-3855,2023-05-18,2023-05-24,South,Georgia,Furniture,Chairs,Home Office,Standard Class,1173.69,-293.79,0.3
ORD-100178,CUST-1352,2023-02-09,2023-02-14,East,New York,Furniture,Bookcases,Consumer,Same Day,539.66,-71.25,0.3
ORD-100179,CUST-1700,2023-07-13,2023-07-17,East,New York,Furniture,Bookcases,Corporate,Same Day,385.85,-85.4,0.4
ORD-100180,CUST-2338,2022-12-23,2022-12-27,East,Massachusetts,Office Supplies,Paper,Home Office,Standard Class,211.19,20.72,0.0
ORD-100181,CUST-4167,2023-03-26,2023-03-31,East,New Jersey,Office Supplies,Storage,Consumer,Same Day,297.16,15.34,0.0
ORD-100182,CUST-2095,2023-06-04,2023-06-05,West,Washington,Technology,Machines,Home Office,Second Class,1469.16,-30.46,0.2
ORD-100183,CUST-2427,2023-09-10,2023-09-14,West,Arizona,Technology,Accessories,Consumer,First Class,876.84,173.26,0.05
ORD-100184,CUST-1416,2022-06-18,2022-06-23,West,Oregon,Office Supplies,Storage,Home Office,Standard Class,169.01,17.02,0.0
ORD-100185,CUST-1803,2023-03-22,2023-03-24,West,Washington,Office Supplies,Storage,Home Office,First Class,952.95,-93.48,0.3
ORD-100186,CUST-4499,2022-01-13,2022-01-16,West,California,Technology,Machines,Corporate,Standard Class,793.92,91.94,0.05
ORD-100187,CUST-3472,2022-05-26,2022-05-28,Central,Illinois,Furniture,Bookcases,Corporate,Standard Class,848.63,105.7,0.05
ORD-100188,CUST-3735,2024-05-16,2024-05-17,Central,Texas,Office Supplies,Supplies,Home Office,Same Day,870.19,-175.55,0.4
ORD-100189,CUST-2282,2023-04-10,2023-04-13,Central,Wisconsin,Office Supplies,Paper,Home Office,Standard Class,965.32,25.7,0.05
ORD-100190,CUST-2734,2022-09-14,2022-09-20,West,California,Office Supplies,Paper,Corporate,Second Class,1303.07,-388.92,0.4
ORD-100191,CUST-4187,2023-11-02,2023-11-04,East,New York,Furniture,Furnishings,Home Office,Second Class,232.52,-69.99,0.4
ORD-100192,CUST-1658,2023-07-11,2023-07-12,West,Nevada,Office Supplies,Binders,Consumer,First Class,586.96,-129.4,0.3
ORD-100193,CUST-3938,2023-07-09,2023-07-10,Central,Illinois,Furniture,Chairs,Home Office,Same Day,1008.3,52.68,0.1
ORD-100194,CUST-4882,2023-02-25,2023-03-02,East,New York,Furniture,Bookcases,Home Office,First Class,1254.01,-270.83,0.4
ORD-100195,CUST-2034,2023-10-15,2023-10-15,East,Massachusetts,Furniture,Chairs,Home Office,First Class,1300.44,124.92,0.0
ORD-100196,CUST-3764,2023-10-06,2023-10-11,West,Nevada,Technology,Phones,Corporate,Same Day,994.0,12.04,0.2
ORD-100197,CUST-4282,2023-06-24,2023-06-25,East,Pennsylvania,Technology,Copiers,Home Office,Same Day,792.86,-243.84,0.4
ORD-100198,CUST-3302,2023-04-26,2023-05-01,South,Tennessee,Technology,Accessories,Consumer,Second Class,1499.6,-126.22,0.2
ORD-100199,CUST-3660,2024-02-18,2024-02-22,Central,Illinois,Furniture,Furnishings,Corporate,First Class,1090.73,-41.8,0.2
ORD-100200,CUST-2745,2023-12-05,2023-12-07,West,Nevada,Furniture,Tables,Corporate,Same Day,1165.73,304.39,0.0
ORD-100201,CUST-2312,2023-11-02,2023-11-04,Central,Minnesota,Technology,Copiers,Corporate,Second Class,1331.22,190.97,0.1
ORD-100202,CUST-4499,2022-06-06,2022-06-08,East,New Jersey,Furniture,Chairs,Home Office,First Class,403.95,36.02,0.2
ORD-100203,CUST-1061,2023-10-11,2023-10-15,East,New York,Office Supplies,Storage,Consumer,First Class,957.06,-345.81,0.4
